Name,Muscle,Equipment,Type,Video,Image 1,Image 2,Rating
Seated Good Mornings,lowerback,barbell,powerlifting,https://videos.bodybuilding.com/video/mp4/76000/77972m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/712/Male/m/712_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/712/Male/m/712_2.jpg,8.1
Reverse Band Deadlift,lowerback,barbell,powerlifting,https://videos.bodybuilding.com/video/mp4/76000/77082m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/756/Male/m/756_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/756/Male/m/756_2.jpg,NA
Landmine 180's,Abdominals,barbell,Strength,https://videos.bodybuilding.com/video/mp4/104000/105052m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/1751/Male/m/1751_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/1751/Male/m/1751_2.jpg,9.5
Barbell Ab Rollout,Abdominals,barbell,Strength,https://videos.bodybuilding.com/video/mp4/24000/25661m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/207/Male/m/207_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/207/Male/m/207_2.jpg,8.9
Barbell Ab Rollout - On Knees,Abdominals,barbell,Strength,https://videos.bodybuilding.com/video/mp4/54000/54641m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/206/Male/m/206_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/206/Male/m/206_2.jpg,8.9
Press Sit-Up,Abdominals,barbell,Strength,https://videos.bodybuilding.com/video/mp4/30000/30161m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/203/Male/m/203_2.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/203/Male/m/203_1.jpg,8.5
Barbell Rollout from Bench,Abdominals,barbell,Strength,https://videos.bodybuilding.com/video/mp4/104000/105192m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/1961/Male/l/1961_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/1961/Male/l/1961_2.jpg,8.3
Barbell Side Bend,Abdominals,barbell,Strength,https://videos.bodybuilding.com/video/mp4/24000/25781m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/87/Male/m/87_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/87/Male/m/87_2.jpg,7
Seated Barbell Twist,Abdominals,barbell,Strength,https://videos.bodybuilding.com/video/mp4/30000/30391m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/89/Male/l/89_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/89/Male/l/89_2.jpg,4.7
Plank,Abdominals,body only,Strength,https://videos.bodybuilding.com/video/mp4/90000/91032m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/908/Male/m/908_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/908/Male/m/908_2.jpg,9.3
Bottoms Up,Abdominals,body only,Strength,https://videos.bodybuilding.com/video/mp4/104000/105252m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/2021/Male/m/2021_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/2021/Male/m/2021_2.jpg,9.3
Decline Reverse Crunch,Abdominals,body only,Strength,https://videos.bodybuilding.com/video/mp4/32000/32181m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/194/Male/m/194_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/194/Male/m/194_2.jpg,9.2
Spider Crawl,Abdominals,body only,Strength,https://videos.bodybuilding.com/video/mp4/104000/105292m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/2061/Male/m/2061_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/2061/Male/m/2061_2.jpg,9.2
Cross-Body Crunch,Abdominals,body only,Strength,https://videos.bodybuilding.com/video/mp4/28000/28791m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/124/Male/m/124_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/124/Male/m/124_2.jpg,9.1
Elbow to Knee,Abdominals,body only,Strength,https://videos.bodybuilding.com/video/mp4/104000/105262m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/2031/Male/m/2031_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/2031/Male/m/2031_2.jpg,9.1
Cocoons,Abdominals,body only,Strength,https://videos.bodybuilding.com/video/mp4/104000/105242m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/2011/Male/m/2011_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/2011/Male/m/2011_2.jpg,9.1
Gorilla ChinCrunch,Abdominals,body only,Strength,https://videos.bodybuilding.com/video/mp4/32000/32331m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/183/Male/m/183_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/183/Male/m/183_2.jpg,9
Decline Crunch,Abdominals,body only,Strength,https://videos.bodybuilding.com/video/mp4/54000/54821m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/193/Male/m/193_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/193/Male/m/193_2.jpg,9
Hanging Pike,Abdominals,body only,Strength,https://videos.bodybuilding.com/video/mp4/118000/119811m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/233/Male/m/233_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/233/Male/m/233_2.jpg,9
Hanging Oblique Knee Raise,Abdominals,body only,Strength,https://videos.bodybuilding.com/video/mp4/28000/29401m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/3273/Male/m/3273_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/3273/Male/m/3273_2.jpg,9
Hanging Leg Raise,Abdominals,body only,Strength,https://videos.bodybuilding.com/video/mp4/28000/29401m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/222/Male/m/222_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/222/Male/m/222_2.jpg,8.9
Reverse Crunch,Abdominals,body only,Strength,https://videos.bodybuilding.com/video/mp4/30000/30261m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/119/Male/m/119_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/119/Male/m/119_2.jpg,8.8
Air Bike,Abdominals,body only,Strength,https://videos.bodybuilding.com/video/mp4/24000/25571m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/209/Male/m/209_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/209/Male/m/209_2.jpg,8.8
34 Sit-Up,Abdominals,body only,Strength,https://videos.bodybuilding.com/video/mp4/104000/105232m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/2001/Male/m/2001_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/2001/Male/m/2001_2.jpg,8.8
Standing Cable Lift,Abdominals,cable,Strength,https://videos.bodybuilding.com/video/mp4/94000/95621m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/936/Male/m/936_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/936/Male/m/936_2.jpg,9.3
One-Arm High-Pulley Cable Side Bends,Abdominals,cable,Strength,https://videos.bodybuilding.com/video/mp4/94000/95561m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/933/Male/m/933_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/933/Male/m/933_2.jpg,9.1
Oblique Cable Crunch,Abdominals,cable,Strength,https://videos.bodybuilding.com/video/mp4/116000/117601m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/3293/Male/m/3293_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/3293/Male/m/3293_2.jpg,9
Cable Crunch,Abdominals,cable,Strength,https://videos.bodybuilding.com/video/mp4/30000/31891m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/163/Male/m/163_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/163/Male/m/163_2.jpg,8.9
Kneeling Cable Crunch With Alternating Oblique Twists,Abdominals,cable,Strength,https://videos.bodybuilding.com/video/mp4/94000/95631m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/937/Male/m/937_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/937/Male/m/937_2.jpg,8.9
Rope Crunch,Abdominals,cable,Strength,https://videos.bodybuilding.com/video/mp4/94000/94202m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/888/Male/m/888_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/888/Male/m/888_2.jpg,8.6
Standing Rope Crunch,Abdominals,cable,Strength,https://videos.bodybuilding.com/video/mp4/104000/105322m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/2091/Male/m/2091_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/2091/Male/m/2091_2.jpg,8.6
Bosu Ball Cable Crunch With Side Bends,Abdominals,cable,Strength,https://videos.bodybuilding.com/video/mp4/94000/95541m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/932/Male/m/932_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/932/Male/m/932_2.jpg,8.5
Pallof Press,Abdominals,cable,Strength,https://videos.bodybuilding.com/video/mp4/112000/112432m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/2713/Male/m/2713_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/2713/Male/m/2713_2.jpg,8.4
Cable Reverse Crunch,Abdominals,cable,Strength,https://videos.bodybuilding.com/video/mp4/94000/95651m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/938/Male/m/938_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/938/Male/m/938_2.jpg,8.2
Standing Cable Wood Chop,Abdominals,cable,Strength,https://videos.bodybuilding.com/video/mp4/94000/95601m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/935/Male/m/935_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/935/Male/m/935_2.jpg,8.2
Cable Russian Twists,Abdominals,cable,Strength,https://videos.bodybuilding.com/video/mp4/94000/95681m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/940/Male/m/940_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/940/Male/m/940_2.jpg,8.1
Pallof Press With Rotation,Abdominals,cable,Strength,https://videos.bodybuilding.com/video/mp4/94000/95581m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/934/Male/m/934_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/934/Male/m/934_2.jpg,7.9
Cable Seated Crunch,Abdominals,cable,Strength,https://videos.bodybuilding.com/video/mp4/30000/31991m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/316/Male/m/316_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/316/Male/m/316_2.jpg,7.7
Cable Judo Flip,Abdominals,cable,Strength,https://videos.bodybuilding.com/video/mp4/94000/95671m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/939/Male/m/939_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/939/Male/m/939_2.jpg,5
Spell Caster,Abdominals,dumbbell,Strength,https://videos.bodybuilding.com/video/mp4/104000/105272m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/2041/Male/m/2041_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/2041/Male/m/2041_2.jpg,9.3
Dumbbell V-Sit Cross Jab,Abdominals,dumbbell,Strength,https://videos.bodybuilding.com/video/mp4/122000/122651m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/4751/Male/m/4751_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/4751/Male/m/4751_2.jpg,9.3
Dumbbell Side Bend,Abdominals,dumbbell,Strength,https://videos.bodybuilding.com/video/mp4/28000/29141m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/88/Male/m/88_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/88/Male/m/88_2.jpg,8.6
Exercise Ball Pull-In,Abdominals,exercise ball,Strength,https://videos.bodybuilding.com/video/mp4/28000/29211m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/121/Male/m/121_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/121/Male/m/121_2.jpg,8.9
Exercise Ball Crunch,Abdominals,exercise ball,Strength,https://videos.bodybuilding.com/video/mp4/28000/29191m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/117/Male/m/117_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/117/Male/m/117_2.jpg,8.4
Weighted Ball Side Bend,Abdominals,exercise ball,Strength,https://videos.bodybuilding.com/video/mp4/32000/32781m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/333/Male/m/333_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/333/Male/m/333_2.jpg,6.4
Torso Rotation,Abdominals,exercise ball,Stretching,https://videos.bodybuilding.com/video/mp4/60000/60902m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/640/Male/m/640_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/640/Male/m/640_2.jpg,5
Bosu Ball Crunch,Abdominals,exercise ball,Strength,https://videos.bodybuilding.com/video/mp4/118000/119271m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/3981/Male/m/3981_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/3981/Male/m/3981_2.jpg,NA
Stability Ball Pike With Knee Tuck,Abdominals,exercise ball,Strength,https://videos.bodybuilding.com/video/mp4/120000/120751m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/4401/Male/m/4401_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/4401/Male/m/4401_2.jpg,NA
Advanced Kettlebell Windmill,Abdominals,kettlebells,Strength,https://videos.bodybuilding.com/video/mp4/62000/62792m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/502/Male/m/502_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/502/Male/m/502_2.jpg,8.3
Kettlebell Windmill,Abdominals,kettlebells,Strength,https://videos.bodybuilding.com/video/mp4/62000/63112m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/533/Male/m/533_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/533/Male/m/533_2.jpg,7.7
Kettlebell Figure 8,Abdominals,kettlebells,Strength,https://videos.bodybuilding.com/video/mp4/62000/62992m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/548/Male/m/548_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/548/Male/m/548_2.jpg,7.7
Kettlebell Pass Between The Legs,Abdominals,kettlebells,Strength,https://videos.bodybuilding.com/video/mp4/62000/63042m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/524/Male/m/524_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/524/Male/m/524_2.jpg,7.3
Bent Press,Abdominals,kettlebells,Strength,https://videos.bodybuilding.com/video/mp4/62000/62822m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/196/Male/m/196_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/196/Male/m/196_2.jpg,6.3
Double Kettlebell Windmill,Abdominals,kettlebells,Strength,https://videos.bodybuilding.com/video/mp4/62000/62942m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/508/Male/m/508_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/508/Male/m/508_2.jpg,3
Ab Crunch Machine,Abdominals,machine,Strength,https://videos.bodybuilding.com/video/mp4/30000/31771m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/225/Male/m/225_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/225/Male/m/225_2.jpg,8
Smith Machine Hip Raise,Abdominals,machine,Strength,https://videos.bodybuilding.com/video/mp4/106000/106992m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/2181/Male/m/2181_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/2181/Male/m/2181_2.jpg,8
One-Arm Medicine Ball Slam,Abdominals,medicine ball,Strength,https://videos.bodybuilding.com/video/mp4/104000/105312m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/2081/Male/m/2081_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/2081/Male/m/2081_2.jpg,9.5
Weighted Suitcase Crunch,Abdominals,medicine ball,Strength,https://videos.bodybuilding.com/video/mp4/116000/116582m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/2813/Male/m/2813_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/2813/Male/m/2813_2.jpg,9
Weighted Crunches,Abdominals,medicine ball,Strength,https://videos.bodybuilding.com/video/mp4/94000/94802m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/926/Male/m/926_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/926/Male/m/926_2.jpg,8.9
Supine Two-Arm Overhead Throw,Abdominals,medicine ball,Plyometrics,https://videos.bodybuilding.com/video/mp4/90000/91792m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/840/Male/m/840_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/840/Male/m/840_2.jpg,5.3
Partner 3-Touch Motion Russian Twist,Abdominals,medicine ball,Strength,https://videos.bodybuilding.com/video/mp4/118000/118721m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/3561/Male/m/3561_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/3561/Male/m/3561_2.jpg,NA
Partner Side-To-Side Russian Twist & Pass,Abdominals,medicine ball,Strength,https://videos.bodybuilding.com/video/mp4/118000/118711m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/3571/Male/m/3571_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/3571/Male/m/3571_2.jpg,NA
